mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.6126912593841554,0.022490190759734463,0.1263420581817627,0.03282373493511668,10,2,2,300,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.6206896551724138,0.7394957983193278,0.6576576576576577,0.625,0.6875,0.6660686222298798,0.04397153818027006,28
0.8442160129547119,0.19692912663322287,0.06807007789611816,0.011234146342185706,10,2,5,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.6206896551724138,0.7136929460580913,0.6339285714285714,0.6283185840707964,0.7111111111111111,0.6615481735681968,0.04174213373061124,29
1.344459056854248,0.34565319472232175,0.08010354042053222,0.004034259306708099,10,2,5,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.6160337552742616,0.7407407407407407,0.6666666666666666,0.646551724137931,0.7022222222222222,0.6744430218083645,0.04339841037031664,22
1.6054819107055665,0.018492781559018352,0.11225123405456543,0.0040181213017890585,10,2,5,300,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.635593220338983,0.7280334728033473,0.6488888888888888,0.6462882096069869,0.7022222222222222,0.6722052027720857,0.0362590553568476,26
0.6253550529479981,0.019346167985396925,0.0512148380279541,0.0020328177351906034,20,1,2,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.6129032258064516,0.6243386243386243,0.6421052631578947,0.5913978494623656,0.6804123711340206,0.6302314667798713,0.03000717768621296,36
1.681690502166748,0.410206755415286,0.12294082641601563,0.025797910992881874,20,1,2,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.6276595744680851,0.6461538461538462,0.6203208556149733,0.6137566137566137,0.6839378238341969,0.638365742765543,0.025232195107771634,35
2.0395906448364256,0.21521820960945393,0.12029318809509278,0.009540575382122394,20,1,2,300,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.631578947368421,0.6598984771573604,0.6421052631578947,0.5989304812834224,0.7142857142857143,0.6493597766505627,0.03804823589439547,32
0.6045114994049072,0.017325916811237307,0.05237202644348145,0.0027069539793975164,20,1,5,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.6435643564356436,0.7297297297297297,0.6862745098039216,0.6568627450980392,0.6862745098039216,0.6805411701742511,0.029709289207621985,14
1.4280088901519776,0.26294690214501404,0.11894583702087402,0.04511971866936367,20,1,5,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.6567164179104478,0.7397260273972602,0.696078431372549,0.6534653465346535,0.6859903381642513,0.6863953122758323,0.03131552774360354,6
2.359706449508667,0.5792963912895397,0.12822408676147462,0.012499993295021362,20,1,5,300,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.6435643564356436,0.7162790697674418,0.6732673267326733,0.6467661691542289,0.6923076923076923,0.674436922879536,0.027532829792265515,23
0.597352123260498,0.013401964864435182,0.05560293197631836,0.0016871917087061248,20,2,2,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.6635514018691588,0.751131221719457,0.6666666666666666,0.6601941747572816,0.704225352112676,0.689153763425048,0.03483723966065551,2
1.1649374961853027,0.0081697698530617,0.08594212532043458,0.008927037871585572,20,2,2,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.6384976525821596,0.7443946188340808,0.6923076923076923,0.6536585365853659,0.704225352112676,0.686616770484395,0.03763621444170586,5
2.7030727863311768,0.9478506005030903,0.14319424629211425,0.033489248916077144,20,2,2,300,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.638095238095238,0.7387387387387387,0.6956521739130435,0.6568627450980392,0.7109004739336493,0.6880498739557417,0.036379688144134927,3
0.6999186038970947,0.21028738741510358,0.06122498512268067,0.021112023758120393,20,2,5,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.6359447004608295,0.7466666666666667,0.6698113207547169,0.6341463414634146,0.6940639269406392,0.6761265912572535,0.04174795471022077,18
1.1430280208587646,0.01569702708707271,0.08939237594604492,0.004247691244758495,20,2,5,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.6363636363636364,0.7391304347826086,0.6948356807511737,0.6407766990291263,0.7031963470319634,0.6828605595917018,0.0391312198151979,11
1.8075389385223388,0.1179430237868183,0.1332082748413086,0.039322039263553474,20,2,5,300,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.6384976525821596,0.7510917030567685,0.6981132075471698,0.6305418719211823,0.6968325791855203,0.6830154028585602,0.04424599926648784,10
